prompt_len_target,prompt_len_actual,out_len,concurrency,num_requests,ttft_p50_s,ttft_p95_s,lat_p50_s,lat_p95_s,tokens_per_second
256,256,128,1,32,0.04858151700000235,0.054671565350281524,2.3990893625000353,2.665452951650059,157.7402947675001
256,256,128,8,32,0.21970715399993423,0.24368103519968826,5.683738560000165,6.273562929900026,69.880696868445
256,256,128,32,32,0.9721581260000676,0.9918989673000397,9.98729709500003,10.005635575899987,38.46344125961223
1024,1024,128,1,32,0.051651897999818175,0.056431927450330474,3.090602609499456,3.2010825474003015,375.4862569333953
1024,1024,128,8,32,0.2314262710001458,0.236162577450159,7.167047024000112,7.734118932849969,158.93569691218002
1024,1024,128,32,32,0.8183367215001454,0.8325698231497881,11.13517111100009,11.149548815099706,103.47656212486599
4096,4096,128,1,32,0.1183825269999943,0.13160057209984188,10.573460805000195,11.13833393574996,397.0291634758114
4096,4096,128,8,32,0.3652560870000343,0.38297585969999093,14.720450868999706,15.460229203800191,285.6294241375692
4096,4096,128,32,32,1.0618184815002678,1.079888625400099,21.600744383500114,21.615845040100158,195.68150498122586
